PSI1_1,PSI2_1,PSI3_1,PSI4_1,PSI5_1,PSI6_1,PSI7_1,PSI8_1,PSI9_1,PSI10_1,PSI11_1,PSI12_1,PSI13_1,PSI14_1,PSI15_1,PSI16_1,PSI17_1,PSI18_1,PSI19_1,PSI20_1,PSI21_4,PSI22,PSI23_1,PSI24_1,PSI25_1,FIN1_4,FIN2_4,FIN3_4,FIN4_4,FIN5_4,FIN6_4,FIN7_4,FIN8_4,FIN9_4,FIN10_4,FIN11_4,FIN12_1,FIN13_1,FIN14_1,FIN15_1,FIN16_1,FIN17_1,FIN18_1,FIN19_1,FIN20_1,FIN21_1,FIN22_1,FIN23_1,FIN24_1,FIN25_1,FIN26_1,FIN27_1,FIN28_1,FIN29_1,FIN30_1,DEM1,DEM4,DEM4.1,DEM5,DEM6,DEM7,DEM10,DEM11,DEM13,DEM14,DEM15,DEM16,2D4D,FWHR
5,5,4,5,5,5,5,5,5,4,4,4,4,4,4,5,4,4,5,5,5,Sim,5,1,5,6,1,7,1,5,4,7,7,2,6,4,2,5,3,3,5,5,6,3,2,7,3,1,4,2,3,2,1,1,1,Doutorando (a),Não,,Em união estável,Nenhum,Não,"Mais de 15 salários mínimos (mais de R$ 15.585, 01)",1 a 3,outra,34,Quatro ou mais vezes na semana,Há mais de 3 anos,5,5
4,4,3,3,4,1,4,1,4,3,3,4,4,3,3,2,5,5,4,4,4,Não,3,3,3,6,2,7,1,2,5,7,5,5,5,4,1,2,6,5,7,6,6,4,1,1,1,4,1,2,3,1,1,1,1,Nível superior incompleto,Não,,Solteiro,Nenhum,Não,"De 3 a 6 salários mínimos (de R$ 3.117,01 a R$ 6.234,00)",4 a 7,outra,25,Pelo menos três vezes na semana,Entre 1 e 2 anos,15,15
2,3,4,4,4,1,2,3,5,4,5,2,5,5,3,2,2,4,2,1,5,Não,3,3,3,7,5,7,2,1,4,6,6,7,7,1,2,6,7,7,6,7,7,1,1,1,5,4,1,1,6,6,2,6,2,Nível superior incompleto,Não,,Solteiro,Nenhum,Não,"De 3 a 6 salários mínimos (de R$ 3.117,01 a R$ 6.234,00)",4 a 7,Heterossexual,21,Pelo menos uma vez na semana,Há menos de 1 ano,16,16
2,4,5,3,4,2,4,1,5,2,4,4,5,4,3,4,4,5,5,1,4,Não,3,3,3,5,1,7,2,5,4,2,1,1,2,1,3,3,6,1,6,2,7,1,1,2,2,2,1,3,1,3,5,5,1,Nível superior incompleto,Não,,Solteiro,Nenhum,Não,"De 1 a 3 salários mínimos (de R$ 1.039,01 a R$ 3.117,00)",4 a 7,outra,19,Pelo menos duas vezes na semana,Há menos de 1 ano,19,19
2,5,2,5,5,5,5,3,5,5,2,4,2,2,2,4,5,5,5,5,5,Não,3,3,3,6,6,4,3,6,6,6,3,3,3,6,3,3,6,6,6,6,6,4,6,3,4,3,2,6,3,6,3,7,5,2º. Grau completo,Não,,Solteiro,Nenhum,Não,"De 3 a 6 salários mínimos (de R$ 3.117,01 a R$ 6.234,00)",1 a 3,Heterossexual,19,Quatro ou mais vezes na semana,Há mais de 3 anos,20,20
4,2,4,5,4,4,4,2,5,2,2,4,2,4,2,4,4,4,2,2,4,Não,3,3,3,6,7,1,1,7,7,3,1,1,6,2,2,7,7,6,5,6,7,2,1,1,3,2,2,5,1,1,1,3,2,Nível superior incompleto,Não,,Solteiro,Nenhum,Não,"De 3 a 6 salários mínimos (de R$ 3.117,01 a R$ 6.234,00)",1 a 3,Heterossexual,18,Quatro ou mais vezes na semana,Há menos de 1 ano,21,21
5,4,3,2,5,1,3,4,5,3,2,4,2,5,4,2,4,5,3,3,4,Não,3,3,3,4,5,6,7,6,6,5,6,4,3,3,2,1,5,3,5,3,6,4,4,3,1,1,1,1,1,3,1,7,5,Nível superior incompleto,Não,,Solteiro,Nenhum,Não,"De 3 a 6 salários mínimos (de R$ 3.117,01 a R$ 6.234,00)",1 a 3,Heterossexual,20,Pelo menos uma vez na semana,Entre 1 e 2 anos,22,22
4,4,4,5,4,5,5,3,4,5,5,4,5,4,5,2,4,5,4,5,5,Não,3,3,3,6,5,1,1,5,5,5,6,4,6,6,7,7,7,7,5,5,7,1,6,5,1,1,1,5,5,5,2,7,7,Nível superior incompleto,Não,,Solteiro,Nenhum,Não,"De 9 a 12 salários mínimos (de R$ 9.351,01 a 12.468,00)",4 a 7,Heterossexual,19,Quatro ou mais vezes na semana,Há menos de 1 ano,23,23
4,3,4,5,5,2,2,4,3,2,4,5,5,1,3,3,4,5,5,5,5,Não,5,4,2,7,6,7,1,6,6,7,7,4,7,7,7,5,7,7,6,5,7,1,1,1,2,2,1,6,6,7,6,7,7,Nível superior incompleto,Não,,Solteiro,Nenhum,Não,"De 12 a 15 salários mínimos (de R$ 12.468,01 a R$ 15.585,00)",4 a 7,outra,19,Quatro ou mais vezes na semana,Há mais de 3 anos,28,28
2,1,4,4,5,3,5,2,5,2,4,4,4,1,2,4,2,1,2,4,2,Não,1,1,1,1,1,3,2,2,2,2,2,2,2,2,3,3,7,3,1,6,7,3,1,1,1,1,1,1,1,1,1,1,3,Nível superior incompleto,Não,,Solteiro,Nenhum,Não,"De 1 a 3 salários mínimos (de R$ 1.039,01 a R$ 3.117,00)",1 a 3,outra,22,Pelo menos uma vez na semana,Há menos de 1 ano,29,29
